meas_pres_DF,meas_pres_F,meas_pres_G,wrist_angle_deg,grip_angle_deg,flag,force_N,time,target_force,action_DF,action_F,cmd_DF,cmd_F,cmd_G
0.452329460413915,-0.00152384985216431,0.458907765054313,66.24,-0.54,1,-0.0814844203009173,22.175,0,-3.7098272,-78.40156,0,0,0.5
0.453806601024086,-0.0039342313045636,0.459209155940637,67.68,-0.54,1,0.0711081270790643,22.18,0,-4.9200406,-84.96857,0,0,0.5
0.455891296201516,-0.0211537600198804,0.458973593100963,68.94,-0.54,1,0.177922910245051,22.185,0,-4.9200406,-84.96857,0,0,0.5
0.456893623346812,-0.0329747225523203,0.459442591397366,70.02,-0.54,1,0.208441419721048,22.19,0,-4.9200406,-84.96857,0,0,0.5
0.456712343028214,-0.0105071708433486,0.459592537342739,71.1,-0.36,1,-0.0662251655629191,22.195,0,-4.9200406,-84.96857,0,0,0.5
0.456153103769091,0.00425612462559881,0.458992914001998,72,-0.36,1,-0.050965910824921,22.2,0,-7.669305,-95.15304,0,0,0.5
0.454597465816131,-0.00508559373389161,0.459745517576509,72.72,-0.36,1,0.26947843867304,22.205,0,-7.669305,-95.15304,0,0,0.5
0.453211015440654,-0.0161725177573995,0.459892029001338,73.26,-0.36,1,0.0711081270790643,22.21,0,-7.669305,-95.15304,0,0,0.5
0.450003725969876,-0.0259226123971144,0.460564570395985,73.62,-0.36,1,-0.050965910824921,22.215,0,-7.669305,-95.15304,0,0,0.5
0.445006440114992,-0.0293683777399026,0.460294730309879,73.62,-0.36,1,-0.0357066560869228,22.22,0,-7.8476477,90.71007,0,0.6,0.5
0.429617740683239,-0.0350965367561378,0.460585642689211,73.62,-0.36,1,0.0558488723410662,22.225,0,-7.8476477,90.71007,0,0.6,0.5
0.406872696987833,-0.0333184742656295,0.460067217692737,73.44,-0.36,1,0.101626636555061,22.23,0,-7.8476477,90.71007,0,0.6,0.5
0.377609481553169,-0.0390076525636519,0.461122063557763,73.26,-0.54,1,-0.127262184514912,22.235,0,-7.8476477,90.71007,0,0.6,0.5
0.346634617803073,-0.0305475747292897,0.461853172623496,72.9,-0.54,1,-0.218817712942901,22.24,0,-7.9292183,93.11883,0,0.6,0.5
0.316690924152715,-0.0111808019973755,0.461780660691046,72.36,-0.54,1,0.0711081270790643,22.245,0,-7.9292183,93.11883,0,0.6,0.5
0.287446441085568,-0.0129095843255243,0.461225248894156,71.82,-0.54,1,0.254219183935042,22.25,0,-7.9292183,93.11883,0,0.6,0.5
0.257974996013433,-0.0203464222495813,0.461445886034477,71.1,-0.54,1,0.0711081270790643,22.255,0,-7.9292183,93.11883,0,0.6,0.5
0.230170724657729,-0.00936846338479094,0.461858087079637,70.38,-0.54,1,0.116885891293059,22.26,0,-8.215699,97.13364,0,0.6,0.5
0.204592303356834,-0.000235749699265696,0.461902391785637,69.48,-0.54,1,0.284737693411039,22.265,0,-8.215699,97.13364,0,0.6,0.5
0.181144780546193,0.00403650194431477,0.462164999238462,68.58,-0.54,1,-0.00518814661092648,22.27,0,-8.215699,97.13364,0,0.6,0.5
0.160256308681128,0.0220257503531766,0.462401385170668,67.68,-0.36,1,0.345774712363031,22.275,0,-8.215699,97.13364,0,0.6,0.5
0.142624018854817,0.052971827713205,0.462579383110616,66.6,-0.54,1,0.177922910245051,22.28,0,-8.271205,96.247086,0,0.6,0.5
0.123507079614611,0.074810863447399,0.462355346226514,65.34,-0.54,1,0.0863673818170625,22.285,0,-8.271205,96.247086,0,0.6,0.5
0.114191298807823,0.0887903880406631,0.46261431494867,64.08,-0.54,1,0.0253303628650698,22.29,0,-8.271205,96.247086,0,0.6,0.5
