timestamp_pc,meas_pres_DF,meas_pres_F,meas_pres_G,angle_deg,velocity,flag,force_N,time,cmd_DF,cmd_F,cmd_G
170637.809752384,0.40214561646960456,0.09986956778569632,0.5076593738424194,52.199999999999996,0.0,1.0,0.26947843867304044,16.925,0.4,0.1,0.5
170637.8097584,0.4023683045112583,0.10518622582496254,0.5074546494855834,52.199999999999996,0.0,1.0,0.3610339671010294,16.93,0.4,0.1,0.5
170637.850919264,0.40265184736496035,0.09782401580883361,0.5072158131017298,52.199999999999996,0.0,1.0,0.4525894955290184,16.935,0.4,0.1,0.5
170637.850934784,0.40251185372017556,0.09350220263107684,0.5072624592313015,52.199999999999996,0.0,1.0,0.2847376934110386,16.94,0.4,0.1,0.5
170637.8509424,0.4017754869776671,0.08232738732265521,0.5075708666729856,52.199999999999996,0.0,1.0,0.42207098605302207,16.945,0.4,0.1,0.5
170637.85094912,0.4014573176268024,0.09730632808227936,0.5076161919348657,52.199999999999996,0.0,1.0,0.26947843867304044,16.95,0.4,0.1,0.5
170637.85095504,0.4010961386359372,0.0932147930296372,0.507705583845012,52.199999999999996,0.0,1.0,0.4068117313150239,16.955000000000002,0.4,0.1,0.5
170637.850961952,0.4007202298647728,0.09442707239172399,0.507618858085741,52.199999999999996,0.0,1.0,0.010071108127071682,16.96,0.4,0.1,0.5
170637.850968192,0.4005416697853292,0.09899476294280515,0.5075707457838238,52.199999999999996,0.0,1.0,0.4831080050050147,16.965,0.4,0.1,0.5
170637.850974592,0.4002889968209772,0.10243059328041527,0.5075940823723692,52.199999999999996,0.0,1.0,0.4525894955290184,16.97,0.4,0.1,0.5
170637.895457856,0.3999049377207335,0.11397295779912522,0.5076307596692367,52.199999999999996,0.0,1.0,0.5899227881710019,16.975,0.4,0.1,0.5
170637.895473568,0.3995821853947696,0.11502746631596862,0.5076900496202987,52.199999999999996,0.0,1.0,0.04058961760306801,16.98,0.4,0.1,0.5
170637.895480736,0.3992836006576639,0.1057201326737862,0.5077887884949892,52.199999999999996,0.0,1.0,0.5441450239570074,16.985,0.4,0.1,0.5
170637.895487744,0.399368275256699,0.11165300205993037,0.5076449618581811,52.199999999999996,0.0,1.0,0.31525620288703493,16.990000000000002,0.4,0.1,0.5
170637.895494432,0.3995416633833827,0.11349960252796192,0.5076429524576584,52.199999999999996,0.0,1.0,0.26947843867304044,16.995,0.4,0.1,0.5
170637.89553152,0.39984788885568856,0.10744532177749434,0.5074466687252912,52.199999999999996,0.0,1.0,0.05584887234106617,17.0,0.4,0.1,0.5
170637.895538848,0.4001067882005856,0.10658111859321318,0.5073721963096676,52.199999999999996,0.0,1.0,0.34577471236303126,17.005,0.4,0.1,0.5
170637.895545312,0.4000913301542607,0.1106702781291602,0.5074626986160837,52.199999999999996,0.0,1.0,0.26947843867304044,17.01,0.4,0.1,0.5
170637.895551776,0.4003232497277315,0.1060317730555751,0.5072511173496724,52.199999999999996,0.0,1.0,0.513626514481011,17.015,0.4,0.1,0.5
170637.936568608,0.40076854044012367,0.09481701007638405,0.5071564795038772,52.199999999999996,0.0,1.0,0.07110812707906433,17.02,0.4,0.1,0.5
170637.936579744,0.400591012609319,0.10940967177669277,0.5073498635951232,52.199999999999996,0.0,1.0,0.39155247657702574,17.025,0.4,0.1,0.5
170637.936586144,0.400658986867825,0.10735157803593459,0.5073719134833532,52.199999999999996,0.0,1.0,0.3610339671010294,17.03,0.4,0.1,0.5
170637.936591936,0.4006254670391843,0.09807503598480859,0.507610296892117,52.199999999999996,0.0,1.0,0.513626514481011,17.035,0.4,0.1,0.5
170637.936597728,0.40104773834014384,0.1132797893927551,0.5073234269267529,52.199999999999996,0.0,1.0,0.2084414197210478,17.04,0.4,0.1,0.5
170637.936604896,0.40096328836029094,0.11033380338053668,0.5075137349150673,52.199999999999996,0.0,1.0,0.4983672597430129,17.045,0.4,0.1,0.5
170637.936611296,0.40113554207031843,0.1186514792980333,0.5074220608358425,52.199999999999996,0.0,1.0,0.2084414197210478,17.05,0.4,0.1,0.5
170637.936617856,0.40129773011600484,0.11987942330864783,0.5073307993901726,52.199999999999996,0.0,1.0,0.4068117313150239,17.055,0.4,0.1,0.5
170637.980898144,0.40104891146683225,0.11880482401923505,0.5074926602588967,52.199999999999996,0.0,1.0,0.23895992919704412,17.06,0.4,0.1,0.5
