strike_idx,target_time,peak_time,timing_err_ms,peak_force,success,model_key,model,seed,midi,trial,force_threshold
0,1.4925334103292538,,,0.0,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
1,1.5721351922134807,,,0.0,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
2,1.8507414288082746,,,0.0,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
3,1.9502436561635583,1.9651689902668508,14.925334103292442,8.426068910794402,True,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
4,2.2288498927583524,,,0.0,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
5,2.3482525655846924,2.3631778996879853,14.925334103292887,9.87569811090428,True,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
6,2.60695835670843,,,0.0,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
7,2.686560138592657,2.721385918167006,34.825779574349184,25.24176763206888,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
8,2.9850668206585076,,,0.0,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
9,3.0646686025427345,3.1193948275881405,54.72622504540592,15.30799279763174,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
10,3.3432748391375284,,,0.0,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
11,3.442777066492812,3.4825779574349256,39.800890942113476,2.200292977690985,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
12,3.721383303087606,,,0.0,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
13,3.8208855304428897,3.8507361986494746,29.850668206584885,2.185033722952987,True,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
14,4.099491767037684,,,0.0,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
15,4.1790935489219105,4.218894439864024,39.800890942113476,7.724143192846487,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
16,4.477600230987761,,,0.0,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
17,4.557202012871988,4.592027792446338,34.825779574349625,34.03109836115604,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
18,4.8358082494667824,,,0.0,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
19,4.935310476822066,4.965161145028651,29.850668206584885,4.245033112582794,True,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
20,5.21391671341686,,,0.0,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
21,5.313418940772143,5.338294497610964,24.875556838821034,15.262215033417746,True,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
22,5.592025177366938,,,0.0,False,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
23,5.671626959251165,5.696502516089986,24.875556838821034,49.91598254341257,True,RAL/A_seed1,A,1,test_double_bpm160.mid,1,1.0
0,1.9926009310096275,,,0.0,False,RAL/A_seed1,A,1,test_single8_bpm120.mid,1,1.0
1,2.4907511637620345,,,0.0,False,RAL/A_seed1,A,1,test_single8_bpm120.mid,1,1.0
2,2.9889013965144415,,,0.0,False,RAL/A_seed1,A,1,test_single8_bpm120.mid,1,1.0
3,3.4870516292668485,,,0.0,False,RAL/A_seed1,A,1,test_single8_bpm120.mid,1,1.0
4,3.985201862019255,,,0.0,False,RAL/A_seed1,A,1,test_single8_bpm120.mid,1,1.0
5,4.4833520947716625,,,0.0,False,RAL/A_seed1,A,1,test_single8_bpm120.mid,1,1.0
