strike_idx,target_time,peak_time,timing_err_ms,peak_force,success,model_key,model,seed,midi,trial,force_threshold
11,4.434477107697212,4.30963259453006,-124.84451316715183,21.777916806543185,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
12,4.973805404579306,4.988786746159364,14.98134158005815,1.223700674459046,True,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
13,5.273432236180469,,,0.0,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
14,5.613009311995119,5.6629471172619805,49.93780526686109,54.78368480483415,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
15,5.912636143596282,5.967567729389829,54.931585793546844,2.612292855616936,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
16,6.152337608877213,6.247219438884248,94.88183000703555,8.380291146580408,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
17,6.691665905759306,6.701653466812679,9.987561053372396,10.989623706778149,True,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
18,6.991292737360469,7.0911683478941905,99.8756105337213,1.5441450239570074,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
19,7.350844935281865,7.400782740548726,49.93780526686109,62.306497390667474,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
20,7.6904220110965165,7.715390913729946,24.968902633429657,29.560136722922465,True,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
21,7.930123476377447,8.025005306384482,94.88183000703555,18.832880642109423,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
22,8.209775185871866,8.299663235352215,89.8880494803489,1.2694784386730404,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
23,8.549352261686517,8.39454506535925,-154.80719632726726,1.0711081270790643,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
24,8.649227872220237,8.639240311166866,-9.987561053371508,12.729178746909994,True,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
25,9.11364946120204,9.168581046995588,54.931585793546844,58.99523911252176,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
26,9.408282512276518,9.51814568386361,109.86317158709191,1.9714041566210128,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
27,9.667959099664191,9.75784714914454,89.8880494803489,45.68916898098697,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
28,9.987561053372099,10.097424224959193,109.86317158709369,25.684286019470825,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
29,10.307163007080007,10.362094592873552,54.93158579354507,38.02902310251167,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
30,10.866466426068843,10.816528620801984,-49.937805266859314,20.282509842219305,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
