meas_pres_DF,meas_pres_F,meas_pres_G,angle_deg,velocity,flag,force_N,time,exp_mode,cmd_DF,cmd_F,cmd_G
-0.004448421022501489,0.2022367733583993,0.00462188180188582,-1.44,9.9,1.0,0.46784875026701656,46.255,1,0.0,0.2,0.0
0.00026916490793034393,0.21095507064446684,-0.006757955130469566,-1.44,9.9,1.0,0.4068117313150239,46.26,1,0.0,0.2,0.0
-0.009424313552552408,0.20798025599347453,-0.002907661439166792,-1.44,9.9,1.0,0.4831080050050147,46.265,1,0.0,0.2,0.0
-0.012438798399621361,0.2055798102217205,0.0015113115506363414,-1.44,9.9,1.0,0.5441450239570074,46.27,1,0.0,0.2,0.0
-0.028402147006352182,0.20741834423322458,-0.007143178388214996,-1.44,9.9,1.0,0.26947843867304044,46.275,1,0.0,0.2,0.0
-0.025104154991567193,0.20790378562617973,-0.010420467776829695,-1.44,9.9,1.0,0.4068117313150239,46.28,1,0.0,0.2,0.0
-0.013659278848962723,0.2030492842820539,-0.004707934283539457,-1.44,9.9,1.0,0.19318216498304963,46.285000000000004,1,0.0,0.2,0.0
0.00615105756752037,0.2096607703528364,-0.006501961975983847,-1.44,9.9,1.0,0.7272560808129853,46.29,1,0.0,0.2,0.0
0.005358886922526873,0.21078603146018174,-0.013669868674450518,-1.44,9.9,1.0,0.3610339671010294,46.295,1,0.0,0.2,0.0
-0.012522710621241613,0.20869746250716897,-0.011625462197712213,-1.44,9.9,1.0,0.513626514481011,46.300000000000004,1,0.0,0.2,0.0
-0.024459659376181678,0.20392795261461727,-0.007853446932763247,-1.44,9.9,1.0,0.5594042786950055,46.305,1,0.0,0.2,0.0
-0.026400306293301656,0.19615147562486937,0.0011281873671706605,-1.44,9.9,1.0,0.34577471236303126,46.31,1,0.0,0.2,0.0
-0.027193945425404688,0.20428264929071743,-0.01271764465449923,-1.44,9.9,1.0,0.22370067445904596,46.315,1,0.0,0.2,0.0
-0.015562205255890955,0.20920089818662782,-0.007616414583361902,-1.44,9.9,1.0,0.4525894955290184,46.32,1,0.0,0.2,0.0
-0.00657482853473568,0.2191280660962877,-0.014499986076938427,-1.44,9.9,1.0,0.26947843867304044,46.325,1,0.0,0.2,0.0
0.005833367359786826,0.22134920505770855,-0.017095125969525657,-1.44,9.9,1.0,0.9408856471450164,46.33,1,0.0,0.2,0.0
0.015011709693861362,0.21741421552053417,-0.009225776073367322,-1.44,9.9,1.0,0.34577471236303126,46.335,1,0.0,0.2,0.0
-0.004473752984199984,0.20199207715571074,0.000978199478014241,-1.44,9.9,1.0,0.5288857692190092,46.34,1,0.0,0.2,0.0
-0.023320025058656955,0.20060028227568139,-0.005195804191435948,-1.44,9.9,1.0,0.4525894955290184,46.345,1,0.0,0.2,0.0
-0.028197332648859336,0.19378060736818284,0.005189901246562947,-1.44,9.9,1.0,0.5288857692190092,46.35,1,0.0,0.2,0.0
-0.02139610594297665,0.20104442263108666,-0.0036664332340968888,-1.44,9.9,1.0,0.04058961760306801,46.355000000000004,1,0.0,0.2,0.0
-0.015320705580781198,0.19733745992676702,0.0031779628705744063,-1.44,9.9,1.0,0.605182042909,46.36,1,0.0,0.2,0.0
0.00287832409418298,0.20341025310120653,0.003692560956628975,-1.44,9.9,1.0,0.22370067445904596,46.365,1,0.0,0.2,0.0
0.004059667753619677,0.20317494272685083,0.008254932252017027,-1.44,9.9,1.0,0.7730338450270366,46.37,1,0.0,0.2,0.0
0.005144210256422435,0.20204885098897687,0.0030928830133666904,-1.44,9.9,1.0,0.34577471236303126,46.375,1,0.0,0.2,0.0
-0.006821758898466272,0.19971965446068002,0.0023409335595653068,-1.44,9.9,1.0,0.6814783165989908,46.38,1,0.0,0.2,0.0
-0.022973185066028096,0.19552616302287087,0.0024210894009087714,-1.44,9.9,1.0,0.4525894955290184,46.385,1,0.0,0.2,0.0
-0.02983397200044309,0.1997882131339027,-0.0016575208723536414,-1.44,9.9,1.0,0.6662190618609927,46.39,1,0.0,0.2,0.0
-0.023125988354148693,0.20052767791203494,-0.001073933450231967,-1.44,9.9,1.0,0.2084414197210478,46.395,1,0.0,0.2,0.0
-0.0250956171780702,0.2000325325745903,0.0013906259029657802,-1.44,9.9,1.0,0.4525894955290184,46.4,1,0.0,0.2,0.0
-0.007562094345735423,0.20955923437640717,-0.008255240725701038,-1.44,9.9,1.0,0.3610339671010294,46.405,1,0.0,0.2,0.0
-0.004685575396069796,0.2059333495681936,-0.003423053719551302,-1.44,9.9,1.0,0.6509598071229945,46.410000000000004,1,0.0,0.2,0.0
0.002841358677517253,0.21254251524032058,-0.008298264753973177,-1.44,9.9,1.0,0.22370067445904596,46.415,1,0.0,0.2,0.0
0.015263419896412759,0.21240087835784255,-0.008323434563198123,-1.44,9.9,1.0,0.6204412976469982,46.42,1,0.0,0.2,0.0
0.011795790655997614,0.21224133450648844,-0.004909593662722481,-1.44,9.9,1.0,0.46784875026701656,46.425000000000004,1,0.0,0.2,0.0
0.010111696232193471,0.2043791775222795,0.005360303449396985,-1.44,9.9,1.0,0.5441450239570074,46.43,1,0.0,0.2,0.0
0.009642857293480741,0.20617362256705318,0.005355738971083772,-1.44,9.9,1.0,0.19318216498304963,46.435,1,0.0,0.2,0.0
0.021855395962076245,0.2136188410480256,-0.004492550960872538,-1.44,9.9,1.0,0.5288857692190092,46.44,1,0.0,0.2,0.0
0.018113772610274585,0.2084375664059222,-0.00029207511710229627,-1.44,9.9,1.0,0.4068117313150239,46.445,1,0.0,0.2,0.0
0.0007394884046449642,0.21106604514607102,-0.009912099306377178,-1.44,9.9,1.0,0.4831080050050147,46.45,1,0.0,0.2,0.0
